id,category,difficulty,question,a,b,c,d,correct
65,Reporting,Medium,If you accidentally shared data with the wrong person what should you do?,Report it promptly,Ask the recipient to forget it and do nothing else,Wait to see if anyone notices,Delete your sent item only,a
66,Physical Security,Easy,What should you do with your ID badge?,Keep it secure and do not lend it,Share it with visitors,Leave it at reception overnight,Post a photo online,a
67,Physical Security,Easy,What is tailgating?,Following someone into a secure area without proper access,A type of malware,A password manager,A backup method,a
68,Physical Security,Medium,What should you do if an unknown person follows you into a restricted area?,Follow local process or alert security,Ignore it,Give them your badge,Assume they belong there,a
69,Physical Security,Medium,Why should confidential papers be cleared from desks?,They may expose sensitive information,They make desks look messy only,They slow down Wi-Fi,They block MFA,a
70,Email and Collaboration,Easy,Before adding an external person to a chat or file share what should you check?,That they are the right person and need access,That they have a funny profile picture,That the file is large,That the chat has emojis,a
71,Email and Collaboration,Medium,What is the risk of using 'reply all' carelessly?,Sending information to people who should not receive it,Making the email shorter,Improving encryption,Blocking attachments,a
72,Email and Collaboration,Medium,What should you check before sending an attachment externally?,Recipient file content and classification,The file icon colour,The time of day,Whether the filename is short,a
73,Email and Collaboration,Hard,What is business email compromise?,A scam where attackers impersonate or take over email to redirect money or data,A normal mailbox migration,An email newsletter,A spam filter update,a
74,Privacy,Easy,What is personal information?,Information about an identifiable person,Only passwords,Only credit card numbers,Only public documents,a
75,Privacy,Medium,Why should you limit access to personal information?,Only people with a genuine need should see it,It makes files bigger,It removes the need for passwords,It improves screen brightness,a
76,Privacy,Medium,What should you do if someone asks for customer information unexpectedly?,Verify the request and follow process,Send it immediately,Ask for their favourite colour,Post it in chat,a
77,Scenario,Easy,You receive an unexpected invoice with a link. What is the safest first step?,Pause and verify before clicking,Click quickly to avoid late fees,Forward to personal email,Approve payment immediately,a
78,Scenario,Medium,A colleague asks you to share your login so they can finish urgent work. What should you do?,Do not share credentials and escalate if needed,Share it once,Change your password to something simple,Send a screenshot of your session,a
79,Scenario,Medium,You find a USB drive in the office carpark. What should you do?,Do not plug it in and follow company process,Plug it in to identify the owner,Take it home,Give it to a friend,a
80,Scenario,Hard,You notice a file share has more access than it should. What should you do?,Report or fix it through the approved process,Ignore it if nobody complains,Download all files,Make it public,a
